word		freq		rank		freq*rank 			 -60037.5
the		62713		1		62713 			 2675.5
,		58334		2		116668 			 56630.5
.		49346		3		148038 			 88000.5
of		36080		4		144320 			 84282.5
and		27915		5		139575 			 79537.5
to		25732		6		154392 			 94354.5
a		21881		7		153167 			 93129.5
in		19536		8		156288 			 96250.5
that		10237		9		92133 			 32095.5
is		10011		10		100110 			 40072.5
was		9777		11		107547 			 47509.5
for		8841		12		106092 			 46054.5
``		8837		13		114881 			 54843.5
''		8789		14		123046 			 63008.5
The		7258		15		108870 			 48832.5
with		7012		16		112192 			 52154.5
it		6723		17		114291 			 54253.5
as		6706		18		120708 			 60670.5
he		6566		19		124754 			 64716.5
his		6466		20		129320 			 69282.5
on		6395		21		134295 			 74257.5
be		6344		22		139568 			 79530.5
;		5566		23		128018 			 67980.5
I		5161		24		123864 			 63826.5
by		5103		25		127575 			 67537.5
had		5102		26		132652 			 72614.5
at		4963		27		134001 			 73963.5
?		4693		28		131404 			 71366.5
not		4423		29		128267 			 68229.5
are		4333		30		129990 			 69952.5
from		4207		31		130417 			 70379.5
or		4118		32		131776 			 71738.5
this		3966		33		130878 			 70840.5
have		3892		34		132328 			 72290.5
an		3542		35		123970 			 63932.5
which		3540		36		127440 			 67402.5
--		3432		37		126984 			 66946.5
were		3279		38		124602 			 64564.5
but		3007		39		117273 			 57235.5
He		2982		40		119280 			 59242.5
her		2885		41		118285 			 58247.5
one		2873		42		120666 			 60628.5
they		2773		43		119239 			 59201.5
you		2766		44		121704 			 61666.5
all		2726		45		122670 			 62632.5
would		2677		46		123142 			 63104.5
him		2576		47		121072 			 61034.5
their		2562		48		122976 			 62938.5
been		2470		49		121030 			 60992.5
)		2466		50		123300 			 63262.5
(		2435		51		124185 			 64147.5
has		2425		52		126100 			 66062.5
will		2204		53		116812 			 56774.5
who		2192		54		118368 			 58330.5
more		2130		55		117150 			 57112.5
out		2058		56		115248 			 55210.5
It		2037		57		116109 			 56071.5
we		1973		58		114434 			 54396.5
she		1949		59		114991 			 54953.5
said		1943		60		116580 			 56542.5
there		1877		61		114497 			 54459.5
up		1874		62		116188 			 56150.5
In		1801		63		113463 			 53425.5
:		1795		64		114880 			 54842.5
than		1788		65		116220 			 56182.5
them		1786		66		117876 			 57838.5
into		1782		67		119394 			 59356.5
no		1781		68		121108 			 61070.5
its		1780		69		122820 			 62782.5
about		1766		70		123620 			 63582.5
so		1755		71		124605 			 64567.5
when		1746		72		125712 			 65674.5
can		1738		73		126874 			 66836.5
only		1646		74		121804 			 61766.5
other		1627		75		122025 			 61987.5
!		1596		76		121296 			 61258.5
could		1580		77		121660 			 61622.5
time		1556		78		121368 			 61330.5
if		1466		79		115814 			 55776.5
what		1435		80		114800 			 54762.5
some		1407		81		113967 			 53929.5
But		1374		82		112668 			 52630.5
A		1314		83		109062 			 49024.5
two		1311		84		110124 			 50086.5
any		1301		85		110585 			 50547.5
may		1292		86		111112 			 51074.5
do		1259		87		109533 			 49495.5
first		1242		88		109296 			 49258.5
like		1237		89		110093 			 50055.5
these		1228		90		110520 			 50482.5
over		1206		91		109746 			 49708.5
such		1192		92		109664 			 49626.5
This		1179		93		109647 			 49609.5
me		1165		94		109510 			 49472.5
my		1161		95		110295 			 50257.5
man		1151		96		110496 			 50458.5
our		1142		97		110774 			 50736.5
made		1122		98		109956 			 49918.5
new		1060		99		104940 			 44902.5
most		1055		100		105500 			 45462.5
now		1045		101		105545 			 45507.5
then		1025		102		104550 			 44512.5
must		1003		103		103309 			 43271.5
also		999		104		103896 			 43858.5
Af		995		105		104475 			 44437.5
did		994		106		105364 			 45326.5
even		985		107		105395 			 45357.5
back		950		108		102600 			 42562.5
before		948		109		103332 			 43294.5
years		943		110		103730 			 43692.5
through		941		111		104451 			 44413.5
And		938		112		105056 			 45018.5
many		925		113		104525 			 44487.5
She		911		114		103854 			 43816.5
much		900		115		103500 			 43462.5
way		892		116		103472 			 43434.5
down		888		117		103896 			 43858.5
your		868		118		102424 			 42386.5
should		865		119		102935 			 42897.5
There		851		120		102120 			 42082.5
where		850		121		102850 			 42812.5
They		847		122		103334 			 43296.5
Mr.		844		123		103812 			 43774.5
after		823		124		102052 			 42014.5
people		811		125		101375 			 41337.5
because		811		126		102186 			 42148.5
too		801		127		101727 			 41689.5
little		788		128		100864 			 40826.5
those		782		129		100878 			 40840.5
very		772		130		100360 			 40322.5
own		772		131		101132 			 41094.5
make		768		132		101376 			 41338.5
good		767		133		102011 			 41973.5
each		759		134		101706 			 41668.5
well		757		135		102195 			 42157.5
work		755		136		102680 			 42642.5
just		751		137		102887 			 42849.5
men		736		138		101568 			 41530.5
If		732		139		101748 			 41710.5
still		731		140		102340 			 42302.5
see		728		141		102648 			 42610.5
get		719		142		102098 			 42060.5
between		716		143		102388 			 42350.5
long		713		144		102672 			 42634.5
being		691		145		100195 			 40157.5
world		684		146		99864 			 39826.5
We		679		147		99813 			 39775.5
same		679		148		100492 			 40454.5
know		679		149		101171 			 41133.5
life		676		150		101400 			 41362.5
us		670		151		101170 			 41132.5
might		670		152		101840 			 41802.5
never		664		153		101592 			 41554.5
year		649		154		99946 			 39908.5
under		648		155		100440 			 40402.5
For		648		156		101088 			 41050.5
both		643		157		100951 			 40913.5
last		636		158		100488 			 40450.5
off		634		159		100806 			 40768.5
how		623		160		99680 			 39642.5
day		623		161		100303 			 40265.5
came		621		162		100602 			 40564.5
against		618		163		100734 			 40696.5
used		610		164		100040 			 40002.5
great		608		165		100320 			 40282.5
here		607		166		100762 			 40724.5
go		605		167		101035 			 40997.5
himself		599		168		100632 			 40594.5
right		597		169		100893 			 40855.5
come		589		170		100130 			 40092.5
When		585		171		100035 			 39997.5
few		583		172		100276 			 40238.5
take		577		173		99821 			 39783.5
New		575		174		100050 			 40012.5
another		573		175		100275 			 40237.5
American		569		176		100144 			 40106.5
old		568		177		100536 			 40498.5
use		566		178		100748 			 40710.5
while		560		179		100240 			 40202.5
around		556		180		100080 			 40042.5
three		553		181		100093 			 40055.5
As		547		182		99554 			 39516.5
state		544		183		99552 			 39514.5
without		541		184		99544 			 39506.5
found		536		185		99160 			 39122.5
Mrs.		534		186		99324 			 39286.5
again		534		187		99858 			 39820.5
His		530		188		99640 			 39602.5
place		528		189		99792 			 39754.5
1		527		190		100130 			 40092.5
home		526		191		100466 			 40428.5
You		520		192		99840 			 39802.5
small		518		193		99974 			 39936.5
thought		515		194		99910 			 39872.5
went		506		195		98670 			 38632.5
say		495		196		97020 			 36982.5
upon		475		197		93575 			 33537.5
What		473		198		93654 			 33616.5
left		471		199		93729 			 33691.5
got		471		200		94200 			 34162.5
number		467		201		93867 			 33829.5
part		465		202		93930 			 33892.5
course		464		203		94192 			 34154.5
United		463		204		94452 			 34414.5
high		461		205		94505 			 34467.5
since		455		206		93730 			 33692.5
during		453		207		93771 			 33733.5
away		453		208		94224 			 34186.5
always		449		209		93841 			 33803.5
fact		447		210		93870 			 33832.5
2		446		211		94106 			 34068.5
States		445		212		94340 			 34302.5
does		445		213		94785 			 34747.5
every		434		214		92876 			 32838.5
until		433		215		93095 			 33057.5
water		431		216		93096 			 33058.5
think		427		217		92659 			 32621.5
To		426		218		92868 			 32830.5
less		426		219		93294 			 33256.5
enough		426		220		93720 			 33682.5
took		425		221		93925 			 33887.5
put		424		222		94128 			 34090.5
head		421		223		93883 			 33845.5
something		420		224		94080 			 34042.5
One		419		225		94275 			 34237.5
hand		418		226		94468 			 34430.5
school		417		227		94659 			 34621.5
once		414		228		94392 			 34354.5
told		411		229		94119 			 34081.5
far		409		230		94070 			 34032.5
At		409		231		94479 			 34441.5
set		408		232		94656 			 34618.5
almost		406		233		94598 			 34560.5
better		402		234		94068 			 34030.5
public		401		235		94235 			 34197.5
house		400		236		94400 			 34362.5
end		400		237		94800 			 34762.5
night		398		238		94724 			 34686.5
called		396		239		94644 			 34606.5
knew		395		240		94800 			 34762.5
find		395		241		95195 			 35157.5
system		393		242		95106 			 35068.5
didn't		393		243		95499 			 35461.5
going		392		244		95648 			 35610.5
eyes		391		245		95795 			 35757.5
don't		387		246		95202 			 35164.5
however		382		247		94354 			 34316.5
asked		382		248		94736 			 34698.5
group		381		249		94869 			 34831.5
